"","State 1","State 2","State 3","State 4","State 5","State 6","State 7","State 8","State 9","State 10","State 11"
"State 1",0.861395454047635,0.0093541473853432,0.0529119493101636,0.00222696129936405,0.0383606179414553,0.0024106095921893,0.0243530127533972,0.00176045689046161,0.0023908885857211,0.000585748012120105,0.00425015418214957
"State 2",0.0356338861625352,0.775271569900713,0.00443792278435766,0.0466699566942589,0.00574122297556872,0.0690213023178143,0.00347163252614399,0.0416090920640334,0.00310092373547736,0.00555967421236704,0.00948281662673039
"State 3",0.0211062643279439,0.000418968925849846,0.826156001705361,0.0207102346686779,0.0976125316575962,0.0102198158969798,0.0130040224138699,0.00266562252498359,0.00157494614099833,0.000827750173404065,0.00570384156433556
"State 4",0.00293038578400116,0.0170222583606243,0.0480658413444661,0.741458018280797,0.00975980741990975,0.141755013106935,0.00188340768781335,0.0175586193511602,0.000408932093119056,0.00630365631237524,0.0128540602587988
"State 5",0.000480572646624284,1.46460244464635e-05,0.0376943718815827,0.00144770427772241,0.813362931316351,0.0673993572578383,0.0245298513237925,0.0062945170371368,0.0228701662827683,0.00946297766990321,0.016442904281834
"State 6",4.29919251763518e-05,0.000224303727942095,0.00169230470722216,0.0198372683563537,0.0425044605824326,0.779591713682441,0.00436552553740321,0.0501077208142196,0.00180772980864567,0.0608884028064371,0.0389375780517269
"State 7",4.0390088265821e-05,1.41472688583516e-06,0.00468702345718902,0.00019586341653267,0.195769613071567,0.0156407985611227,0.660536669506586,0.0657513737066788,0.0155402867956091,0.00735549541340555,0.0344810712561576
"State 8",3.40157767529488e-06,1.27485334190104e-05,0.000251041446222057,0.00167190115289161,0.0109535651414008,0.126198612035113,0.0217329002827305,0.637355340811501,0.00259991622267499,0.062782813670709,0.136437759125663
"State 9",1.48556641784491e-05,9.60804308660889e-07,0.00172633964641646,0.000134691972180204,0.072748407811444,0.011255066177016,0.011096103021671,0.00365957630279586,0.674317752855525,0.167034530740512,0.0580117150039521
"State 10",7.89126299000242e-07,3.71983518566997e-06,5.08771064383954e-05,0.00049970124097186,0.00237123002199203,0.0395314643160004,0.000646537713382362,0.0166258791531338,0.0197543323950207,0.806130866479687,0.114384602611889
"State 11",0,0,0,0,0,0,0,0,0,0,1
