"","State 1","State 2","State 3","State 4","State 5","State 6","State 7","State 8","State 9","State 10","State 11"
"State 1",0,0.0760236874927878,0.411355703344693,0.010569670543797,0.255034757709781,0.000974833052088994,0.206468216668526,0.00175893616118396,0.0142597080121437,0.000823299285255882,0.0227311877297427
"State 2",0.170220490187895,0,0.00866676763504012,0.236644705241505,0.0114696531368422,0.307592057216408,0.0111337612640892,0.216964262661998,0.0154915263474453,0.00489445136761378,0.0169223249411645
"State 3",0.128091035040442,0.000452805627187948,0,0.134929615007841,0.598376714504093,0.026304311062574,0.0774988457352869,0.0102055890041638,0.000295612422222884,0.000295749234399734,0.0235497223617885
"State 4",0.0079476693115006,0.0740698477231991,0.201883363411182,0,0.0119430181467496,0.607652220969383,0.00394688318487747,0.0592593997543893,0.000682021660726171,0.00104101197162009,0.0315745638663717
"State 5",0,0,0.212445851896203,0.000656804000826745,0,0.387740010137992,0.150622831631439,0.0180794606985239,0.140539743415869,0.023306498965622,0.0666087992535246
"State 6",0,0,0.000398844128264476,0.100110161916324,0.201511061591698,0,0.015414513390159,0.267664247610081,0.00182292915166791,0.283829475372565,0.129248766839241
"State 7",0,0,0,0,0.632378887642525,0.00312387253656038,0,0.239005104059263,0.0446199040796125,0.0060734703380296,0.0747987613440093
"State 8",0,0,0,0,0.0129479825815794,0.385582958003219,0.0718161033365599,0,0.00478160793378985,0.175140603433361,0.349730744711491
"State 9",0,0,0,0,0.241064314727575,0.0133363860311008,0.0372389432783262,0.00385801476215523,0,0.566911913111429,0.137590428089413
"State 10",0,0,0,0,0.00136446134702759,0.217881653784207,0.000906031135039874,0.0969639522960122,0.121129032160144,0,0.561754869277569
"State 11",0,0,0,0,0,0,0,0,0,0,0
