"","State 1","State 2","State 3","State 4","State 5","State 6","State 7","State 8","State 9","State 10","State 11"
"State 1",0.350069042677456,0.0014178929965714,0.00340102177088764,0.00172326278597939,0.00365477612330942,0.348828799839562,0.0030513300679171,0.0243180627463223,0.00140331913125823,0.0174555694258508,0.00105673611862572
"State 2",0.00826501848160315,0.271735103508256,0.136404619409051,0.0125709337807964,0.179780076707129,0.0165104087009606,0.144778696279205,0.0149716081949534,0.00878848973840443,0.0580671649136065,0.0193186403144247
"State 3",0.00152220053508779,0.0039625675365055,0.0137498018768524,0.00200575998899988,0.00430774899826816,0.00308613952329861,0.00235004455561633,0.00269122518662523,0.0043469219502667,0.0115569825930229,0.00106376883067506
"State 4",0.00535611925273289,0.00336432299446676,0.00636823485008809,0.170314997892122,0.13340180244803,0.0139995960022708,0.103822471954094,0.0102678204686568,0.020532021741903,0.0254731815523173,0.00462660737546023
"State 5",0,0,0.00161422411863099,0.402616476941228,0.402581112049472,0.00295491880565571,0.00233478714145268,0.00240376573626124,0.00196424689519364,0.00207784061815649,0.00134930467493594
"State 6",0,0,0.00967350700240532,0.00171254036296939,0.00300196172096526,0.0373820091271692,0.00204567035610718,0.0049979813628344,0.0358907971228336,0.00371031795632903,0.00277719504894354
"State 7",0,0,0,0,0.0144147598732914,37.4617190093982,37.462067176533,0.0111109402879114,0.00703141740337449,0.200158157524422,0.00642143621997569
"State 8",0,0,0,0,0.0169240948317754,0.0137759370512149,0.00669104480991188,0.044056116690358,0.0397479890035056,0.0103785037019412,0.00939701295908787
"State 9",0,0,0,0,0.0084960199194923,0.0344941893112295,0.00491122929037402,0.0646838549689855,0.0718469430727182,0.0140406784622621,0.00683204655154841
"State 10",0,0,0,0,186.688122280672,0.00319334613725557,0.00946810771655457,0.00272073733045843,0.00248565367086464,186.688072650446,0.00343264700119115
"State 11",0,0,0,0,0,0,0,0,0,0,0
