"","State 1","State 2","State 3","State 4","State 5","State 6","State 7","State 8","State 9","State 10","State 11"
"State 1",-0.145027400009184,0.0145263519321861,0.0687977923304046,0.00658570190032176,0.0461220446115834,0.0417919823516876,0.0375607838617872,0.0191370437762412,0.00605324225141108,0.010568313488076,0.0060344590340785
"State 2",0.0625373557775082,-0.243357972486699,0.11412018252246,0.0898024343314232,0.170363354492011,0.117116325983011,0.143661565337943,0.091776922293743,0.028701225633119,0.0612906438394678,0.05099019322159
"State 3",0.0281669109101077,0.00431370488399398,-0.189304557662273,0.0305688591031274,0.125576900886702,0.0136277995164779,0.0204149596688254,0.00982603963380314,0.00371737830851169,0.00519028291413784,0.00712035736642095
"State 4",0.0175522525815927,0.0299702157955717,0.074933426424811,-0.290144150721204,0.140469138880883,0.213640883378297,0.0863609240767784,0.0460634015587259,0.0161463444508717,0.0218366955608481,0.0219257344608971
"State 5",0,0,0.0493728608050516,0.0622808281394357,-0.211241175592136,0.0901428286336158,0.0375862895352657,0.0105572060549831,0.0345978109044881,0.0104492929507641,0.0173351859178259
"State 6",0,0,0.00718876177593367,0.0297383116871169,0.0588690697097125,-0.251922538704091,0.00952672505693739,0.0804065462513719,0.0307819451365278,0.0818112407121057,0.0396550678964487
"State 7",0,0,0,0,0.296080214448996,0.943546187242018,-0.400842574260831,0.124766420699037,0.0367623487667691,0.147576494438827,0.0464399629305979
"State 8",0,0,0,0,0.0516394644264499,0.206313544758075,0.0485699949250536,-0.433407091722559,0.0617598311500341,0.10337961482277,0.180255420929186
"State 9",0,0,0,0,0.114272841220469,0.0834687271130081,0.027178978180785,0.069786664380684,-0.378785882876325,0.255378705379657,0.0698696123801205
"State 10",0,0,0,0,1.14398194819862,0.0548338484715416,0.00986582851724987,0.0273981977128093,0.0320758039221408,-0.213897331473533,0.131066165378218
"State 11",0,0,0,0,0,0,0,0,0,0,0
