"","State 1","State 2","State 3","State 4","State 5","State 6","State 7","State 8","State 9","State 10","State 11"
"State 1",-0.150213903402486,0.0114198148493424,0.0617913458862815,0.00158771147006203,0.0383097664588935,0.000146433477920047,0.0310143967543295,0.000264216666607227,0.00214200640188382,0.000123670999306763,0.00341454043785934
"State 2",0.0434873134017894,-0.255476372755046,0.00221415435891088,0.0604571309267867,0.00293022538015898,0.0785825030659106,0.00284441294287014,0.0554292428423603,0.00395771895968455,0.00125041668202395,0.00432325419455096
"State 3",0.0250098492465365,8.84105626157087e-05,-0.195250582826816,0.0263450859708788,0.116833402256919,0.00513593206582543,0.0151316947982203,0.00199264720115392,5.77184977298648e-05,5.77452103871327e-05,0.0045980970165489
"State 4",0.00240923234163204,0.0224533087223779,0.0611983097565291,-0.303136963454906,0.00362037025549251,0.184201849101289,0.00119644618377498,0.017963714497706,0.000206745975243004,0.000315569207997118,0.00957141741286493
"State 5",0,0,0.0461065884755306,0.000142544519014645,-0.217027482833872,0.0841502383942282,0.0326892940062813,0.00392373984639456,0.0305009867516642,0.00505815080417918,0.0144559400365791
"State 6",0,0,0.000104241841755997,0.026164776956999,0.0526669009418026,-0.261359850550121,0.00402873491595481,0.0699566877529813,0.000476440490643385,0.0741816292650928,0.0337804383848914
"State 7",0,0,0,0,0.266395499181052,0.00131596041553083,-0.421259318403498,0.100683127230962,0.018796550379807,0.00255850597494221,0.0315096752212033
"State 8",0,0,0,0,0.00595399507693817,0.177306311561503,0.0330238879313201,-0.459839595815391,0.00219877265962159,0.0805365842936604,0.160820044292348
"State 9",0,0,0,0,0.0961877183107221,0.00532138713393667,0.0148588105638635,0.00153939681034982,-0.399012680161405,0.226205041866021,0.0549003254765118
"State 10",0,0,0,0,0.000301574181151291,0.0481563523004897,0.000200251621815785,0.0214310391265862,0.0267720216237136,-0.221020684688691,0.124159445834934
"State 11",0,0,0,0,0,0,0,0,0,0,0
